0	0
0.1	1
0.2	2
0.3	2.91795
0.4	3.72378
0.5	4.34391
0.6	3.71598
0.7	2.98397
0.8	1.39759
0.9	-0.283774
1	-2.20549
1.1	-4.12036
1.2	-3.72448
1.3	-2.20884
1.4	0.60331
1.5	5.34016
1.6	10.0605
1.7	14.645
1.8	18.8298
1.9	22.2142
2	25.049
2.1	27.3201
2.2	28.1673
2.3	19.0266
2.4	-23.6344
2.5	-67.1125
2.6	-109.739
2.7	-147.544
2.8	-177.56
2.9	-193.458
3	13239.1
3.1	26676.8
3.2	39789.2
3.3	50249.6
3.4	59385.6
3.5	67306.7
3.6	71586.3
3.7	61913.7
3.8	48964.5
3.9	27000.3
4	-21430
4.1	-75737.7
4.2	-129525
4.3	190459
4.4	1.67942e+06
4.5	2.75752e+06
4.6	3.62353e+06
4.7	3.67745e+06
4.8	3.06655e+06
4.9	578295
5	-1.99744e+06
5.1	-4.60508e+06
5.2	-7.1596e+06
5.3	-9.37667e+06
5.4	-1.12794e+07
5.5	-1.10563e+07
5.6	-1.03646e+07
5.7	-4.12129e+06
5.8	1.14172e+07
5.9	3.14496e+07
6	5.11482e+07
6.1	6.9741e+07
6.2	8.71067e+07
6.3	-9.84909e+07
6.4	-2.86177e+08
6.5	-2.9074e+08
6.6	-2.88427e+08
6.7	-2.66249e+08
6.8	-1.14324e+08
6.9	9.18359e+08
7	1.97368e+09
7.1	3.00693e+09
7.2	3.85514e+09
7.3	4.53822e+09
7.4	5.12209e+09
7.5	5.31364e+09
7.6	1.98145e+09
7.7	-1.47939e+09
7.8	-4.9879e+09
7.9	-8.07563e+09
8	-1.08179e+10
8.1	-1.25104e+10
8.2	-1.33933e+10
8.3	-1.39726e+10
8.4	-1.42308e+10
8.5	-1.40999e+10
8.6	-1.31226e+10
8.7	-6.05002e+09
8.8	1.67838e+09
8.9	2.64782e+10
9	5.11445e+10
9.1	7.47064e+10
9.2	9.70374e+10
9.3	1.16429e+11
9.4	1.11261e+11
9.5	1.02236e+11
9.6	-1.11806e+11
9.7	-3.42298e+11
9.8	-5.05596e+11
9.9	-6.39517e+11
